
4K,#genre#
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8$LR•IPV4
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php$LR•IPV4
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k$LR•IPV4
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de$LR•IPV4
CCTV4K,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227140/index.m3u8$LR•IPV4•4『线路1』
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1790013600-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-c7e7fdaaae2a38dc1e87e7d4786162a7&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•4『线路2』
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1790010000-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-79fbb544c8b8c50e3c0b067b62b054b8&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•4『线路3』
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8$LR•IPV4•4『线路4』

8K,#genre#
CCTV8K,http://192.151.150.154/live/cctv8k.m3u8$LR•IPV4

央视,#genre#
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8$LR•IPV4•33『线路1』
CCTV1,http://124.228.160.112:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•33『线路2』
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•IPV4•33『线路3』
CCTV1,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=6607337aa8fa6d6cd9b46915384af2$LR•IPV4•33『线路4』
CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8$LR•IPV4•33『线路5』
CCTV1,http://36.110.54.118:866/hls/1/index.m3u8$LR•IPV4•33『线路6』
CCTV1,http://112.92.129.95:9898/hls/18/index.m3u8$LR•IPV4•33『线路7』
CCTV1,http://www.frankgb.cn:4022/udp/239.49.8.19:9614$LR•IPV4•33『线路8』
CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8$LR•IPV4•33『线路9』
CCTV1,http://www.ikerobot.com:1234/608807420$LR•IPV4•33『线路10』
CCTV1,http://82.156.245.233:30008/608807420$LR•IPV4•33『线路11』
CCTV1,http://120.48.113.49:6006/608807420$LR•IPV4•33『线路12』
CCTV1,http://222.213.105.65:7788/608807420$LR•IPV4•33『线路13』
CCTV1,http://2280.eu.org:1234/608807420$LR•IPV4•33『线路14』
CCTV1,http://103.236.77.86:29824/608807420$LR•IPV4•33『线路15』
CCTV1,http://222.134.19.49:8090/608807420$LR•IPV4•33『线路16』
CCTV1,http://124.221.146.169:7001/608807420$LR•IPV4•33『线路17』
CCTV1,http://45.78.61.93:1234/608807420$LR•IPV4•33『线路18』
CCTV1,http://fn.gcl.de5.net:5908/gsh950428/608807420$LR•IPV4•33『线路19』
CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420$LR•IPV4•33『线路20』
CCTV1,http://120.24.194.118:10002/608807420$LR•IPV4•33『线路21』
CCTV1,http://mg.cttv.vip/608807420$LR•IPV4•33『线路22』
CCTV1,http://119.233.255.62:1234/608807420$LR•IPV4•33『线路23』
CCTV1,http://47.119.24.76:59093/608807420$LR•IPV4•33『线路24』
CCTV1,http://113.98.11.46:3000/608807420$LR•IPV4•33『线路25』
CCTV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8$LR•IPV4•33『线路26』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/index.m3u8$LR•IPV4•33『线路27』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227088/index.m3u8$LR•IPV4•33『线路28』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8$LR•IPV4•33『线路29』
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227209/index.m3u8$LR•IPV4•33『线路30』
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?$LR•IPV6•33『线路31』
